,state,State Name,disease,Number of Hepatitis Cases,"Hepatitis Incidence Per 100,000 People",year,number_week
41202,AL,ALABAMA,HEPATITIS A,1,0.03,1985,19
41203,AZ,ARIZONA,HEPATITIS A,28,0.85,1985,19
41204,CA,CALIFORNIA,HEPATITIS A,126,0.46,1985,19
41205,CO,COLORADO,HEPATITIS A,4,0.12,1985,19
41206,FL,FLORIDA,HEPATITIS A,11,0.09,1985,19
41207,GA,GEORGIA,HEPATITIS A,4,0.07,1985,19
41208,IA,IOWA,HEPATITIS A,1,0.04,1985,19
41209,ID,IDAHO,HEPATITIS A,4,0.4,1985,19
41210,IL,ILLINOIS,HEPATITIS A,1,0.01,1985,19
41211,KS,KANSAS,HEPATITIS A,1,0.04,1985,19
41212,KY,KENTUCKY,HEPATITIS A,2,0.05,1985,19
41213,LA,LOUISIANA,HEPATITIS A,3,0.07,1985,19
41214,MA,MASSACHUSETTS,HEPATITIS A,5,0.08,1985,19
41215,MI,MICHIGAN,HEPATITIS A,1,0.01,1985,19
41216,MN,MINNESOTA,HEPATITIS A,5,0.12,1985,19
41217,NC,NORTH CAROLINA,HEPATITIS A,2,0.03,1985,19
41218,NJ,NEW JERSEY,HEPATITIS A,7,0.09,1985,19
41219,NM,NEW MEXICO,HEPATITIS A,5,0.34,1985,19
41220,NV,NEVADA,HEPATITIS A,1,0.1,1985,19
41221,NY,NEW YORK,HEPATITIS A,14,0.08,1985,19
41222,OH,OHIO,HEPATITIS A,4,0.04,1985,19
41223,OK,OKLAHOMA,HEPATITIS A,9,0.28,1985,19
41224,OR,OREGON,HEPATITIS A,28,1.04,1985,19
41225,RI,RHODE ISLAND,HEPATITIS A,1,0.1,1985,19
41226,SC,SOUTH CAROLINA,HEPATITIS A,2,0.06,1985,19
41227,SD,SOUTH DAKOTA,HEPATITIS A,1,0.14,1985,19
41228,TN,TENNESSEE,HEPATITIS A,1,0.02,1985,19
41229,TX,TEXAS,HEPATITIS A,65,0.39,1985,19
41230,UT,UTAH,HEPATITIS A,1,0.06,1985,19
41231,WA,WASHINGTON,HEPATITIS A,13,0.29,1985,19
41232,CA,CALIFORNIA,HEPATITIS A,126,0.46,1985,20
41233,CO,COLORADO,HEPATITIS A,3,0.09,1985,20
41234,CT,CONNECTICUT,HEPATITIS A,1,0.03,1985,20
41235,FL,FLORIDA,HEPATITIS A,11,0.09,1985,20
41236,GA,GEORGIA,HEPATITIS A,7,0.12,1985,20
41237,KS,KANSAS,HEPATITIS A,1,0.04,1985,20
41238,KY,KENTUCKY,HEPATITIS A,1,0.03,1985,20
41239,LA,LOUISIANA,HEPATITIS A,5,0.11,1985,20
41240,MA,MASSACHUSETTS,HEPATITIS A,7,0.12,1985,20
41241,MD,MARYLAND,HEPATITIS A,2,0.04,1985,20
41242,ME,MAINE,HEPATITIS A,1,0.09,1985,20
41243,MI,MICHIGAN,HEPATITIS A,3,0.03,1985,20
41244,MN,MINNESOTA,HEPATITIS A,4,0.1,1985,20
41245,MO,MISSOURI,HEPATITIS A,1,0.02,1985,20
41246,MS,MISSISSIPPI,HEPATITIS A,3,0.12,1985,20
41247,MT,MONTANA,HEPATITIS A,3,0.37,1985,20
41248,NC,NORTH CAROLINA,HEPATITIS A,1,0.02,1985,20
41249,NJ,NEW JERSEY,HEPATITIS A,8,0.1,1985,20
41250,NM,NEW MEXICO,HEPATITIS A,9,0.62,1985,20
41251,NV,NEVADA,HEPATITIS A,13,1.33,1985,20
41252,NY,NEW YORK,HEPATITIS A,11,0.06,1985,20
41253,OH,OHIO,HEPATITIS A,6,0.06,1985,20
41254,OK,OKLAHOMA,HEPATITIS A,10,0.31,1985,20
41255,OR,OREGON,HEPATITIS A,28,1.04,1985,20
41256,SD,SOUTH DAKOTA,HEPATITIS A,5,0.72,1985,20
41257,TN,TENNESSEE,HEPATITIS A,1,0.02,1985,20
41258,TX,TEXAS,HEPATITIS A,35,0.21,1985,20
41259,UT,UTAH,HEPATITIS A,9,0.54,1985,20
41260,VA,VIRGINIA,HEPATITIS A,5,0.09,1985,20
41261,WA,WASHINGTON,HEPATITIS A,7,0.16,1985,20
41262,AZ,ARIZONA,HEPATITIS A,47,1.42,1985,21
41263,CO,COLORADO,HEPATITIS A,6,0.19,1985,21
41264,CT,CONNECTICUT,HEPATITIS A,1,0.03,1985,21
41265,DC,DISTRICT OF COLUMBIA,HEPATITIS A,2,0.31,1985,21
41266,FL,FLORIDA,HEPATITIS A,18,0.15,1985,21
41267,GA,GEORGIA,HEPATITIS A,2,0.03,1985,21
41268,HI,HAWAII,HEPATITIS A,1,0.1,1985,21
41269,IA,IOWA,HEPATITIS A,3,0.11,1985,21
41270,ID,IDAHO,HEPATITIS A,8,0.81,1985,21
41271,IL,ILLINOIS,HEPATITIS A,1,0.01,1985,21
41272,IN,INDIANA,HEPATITIS A,2,0.04,1985,21
41273,KS,KANSAS,HEPATITIS A,1,0.04,1985,21
41274,KY,KENTUCKY,HEPATITIS A,3,0.08,1985,21
41275,MA,MASSACHUSETTS,HEPATITIS A,7,0.12,1985,21
41276,MD,MARYLAND,HEPATITIS A,1,0.02,1985,21
41277,ME,MAINE,HEPATITIS A,1,0.09,1985,21
41278,MI,MICHIGAN,HEPATITIS A,7,0.08,1985,21
41279,MN,MINNESOTA,HEPATITIS A,4,0.1,1985,21
41280,MO,MISSOURI,HEPATITIS A,4,0.08,1985,21
41281,MT,MONTANA,HEPATITIS A,1,0.12,1985,21
41282,NC,NORTH CAROLINA,HEPATITIS A,1,0.02,1985,21
41283,NJ,NEW JERSEY,HEPATITIS A,8,0.1,1985,21
41284,NM,NEW MEXICO,HEPATITIS A,13,0.89,1985,21
41285,NV,NEVADA,HEPATITIS A,8,0.82,1985,21
41286,NY,NEW YORK,HEPATITIS A,11,0.06,1985,21
41287,OH,OHIO,HEPATITIS A,5,0.05,1985,21
41288,OK,OKLAHOMA,HEPATITIS A,9,0.28,1985,21
41289,OR,OREGON,HEPATITIS A,42,1.57,1985,21
41290,SC,SOUTH CAROLINA,HEPATITIS A,1,0.03,1985,21
41291,SD,SOUTH DAKOTA,HEPATITIS A,6,0.86,1985,21
41292,TN,TENNESSEE,HEPATITIS A,2,0.04,1985,21
41293,TX,TEXAS,HEPATITIS A,75,0.45,1985,21
41294,VA,VIRGINIA,HEPATITIS A,1,0.02,1985,21
41295,VT,VERMONT,HEPATITIS A,1,0.19,1985,21
41296,WA,WASHINGTON,HEPATITIS A,11,0.25,1985,21
41297,AZ,ARIZONA,HEPATITIS A,25,0.76,1985,22
41298,CA,CALIFORNIA,HEPATITIS A,89,0.33,1985,22
41299,CO,COLORADO,HEPATITIS A,1,0.03,1985,22
41300,DC,DISTRICT OF COLUMBIA,HEPATITIS A,1,0.16,1985,22
41301,DE,DELAWARE,HEPATITIS A,1,0.16,1985,22
41302,FL,FLORIDA,HEPATITIS A,14,0.12,1985,22
41303,HI,HAWAII,HEPATITIS A,1,0.1,1985,22
41304,ID,IDAHO,HEPATITIS A,3,0.3,1985,22
41305,IL,ILLINOIS,HEPATITIS A,2,0.02,1985,22
41306,IN,INDIANA,HEPATITIS A,2,0.04,1985,22
41307,KS,KANSAS,HEPATITIS A,3,0.12,1985,22
41308,KY,KENTUCKY,HEPATITIS A,4,0.11,1985,22
41309,LA,LOUISIANA,HEPATITIS A,1,0.02,1985,22
41310,MA,MASSACHUSETTS,HEPATITIS A,2,0.03,1985,22
41311,MD,MARYLAND,HEPATITIS A,1,0.02,1985,22
41312,ME,MAINE,HEPATITIS A,2,0.17,1985,22
41313,MI,MICHIGAN,HEPATITIS A,4,0.04,1985,22
41314,MN,MINNESOTA,HEPATITIS A,1,0.02,1985,22
41315,MO,MISSOURI,HEPATITIS A,4,0.08,1985,22
41316,MS,MISSISSIPPI,HEPATITIS A,2,0.08,1985,22
41317,MT,MONTANA,HEPATITIS A,3,0.37,1985,22
41318,NC,NORTH CAROLINA,HEPATITIS A,1,0.02,1985,22
41319,NJ,NEW JERSEY,HEPATITIS A,8,0.1,1985,22
41320,NM,NEW MEXICO,HEPATITIS A,5,0.34,1985,22
41321,NV,NEVADA,HEPATITIS A,6,0.61,1985,22
41322,NY,NEW YORK,HEPATITIS A,5,0.03,1985,22
41323,OH,OHIO,HEPATITIS A,6,0.06,1985,22
41324,OK,OKLAHOMA,HEPATITIS A,17,0.52,1985,22
41325,OR,OREGON,HEPATITIS A,30,1.12,1985,22
41326,PA,PENNSYLVANIA,HEPATITIS A,15,0.13,1985,22
41327,SC,SOUTH CAROLINA,HEPATITIS A,2,0.06,1985,22
41328,TN,TENNESSEE,HEPATITIS A,1,0.02,1985,22
41329,TX,TEXAS,HEPATITIS A,41,0.25,1985,22
41330,UT,UTAH,HEPATITIS A,4,0.24,1985,22
41331,VA,VIRGINIA,HEPATITIS A,1,0.02,1985,22
41332,WA,WASHINGTON,HEPATITIS A,4,0.09,1985,22
41333,WY,WYOMING,HEPATITIS A,1,0.2,1985,22
41334,AL,ALABAMA,HEPATITIS A,1,0.03,1985,23
41335,AZ,ARIZONA,HEPATITIS A,10,0.3,1985,23
41336,CA,CALIFORNIA,HEPATITIS A,182,0.67,1985,23
41337,CO,COLORADO,HEPATITIS A,7,0.22,1985,23
41338,FL,FLORIDA,HEPATITIS A,29,0.25,1985,23
41339,HI,HAWAII,HEPATITIS A,1,0.1,1985,23
41340,IA,IOWA,HEPATITIS A,1,0.04,1985,23
41341,ID,IDAHO,HEPATITIS A,2,0.2,1985,23
41342,IL,ILLINOIS,HEPATITIS A,2,0.02,1985,23
41343,KY,KENTUCKY,HEPATITIS A,1,0.03,1985,23
41344,LA,LOUISIANA,HEPATITIS A,5,0.11,1985,23
41345,MA,MASSACHUSETTS,HEPATITIS A,7,0.12,1985,23
41346,MD,MARYLAND,HEPATITIS A,2,0.04,1985,23
41347,MI,MICHIGAN,HEPATITIS A,9,0.1,1985,23
41348,MN,MINNESOTA,HEPATITIS A,1,0.02,1985,23
41349,MO,MISSOURI,HEPATITIS A,4,0.08,1985,23
41350,MS,MISSISSIPPI,HEPATITIS A,3,0.12,1985,23
41351,MT,MONTANA,HEPATITIS A,2,0.25,1985,23
41352,NJ,NEW JERSEY,HEPATITIS A,10,0.13,1985,23
41353,NM,NEW MEXICO,HEPATITIS A,13,0.89,1985,23
41354,NV,NEVADA,HEPATITIS A,13,1.33,1985,23
41355,OH,OHIO,HEPATITIS A,4,0.04,1985,23
41356,OK,OKLAHOMA,HEPATITIS A,7,0.22,1985,23
41357,OR,OREGON,HEPATITIS A,30,1.12,1985,23
41358,PA,PENNSYLVANIA,HEPATITIS A,19,0.16,1985,23
41359,SC,SOUTH CAROLINA,HEPATITIS A,1,0.03,1985,23
41360,SD,SOUTH DAKOTA,HEPATITIS A,1,0.14,1985,23
41361,TN,TENNESSEE,HEPATITIS A,2,0.04,1985,23
41362,TX,TEXAS,HEPATITIS A,73,0.44,1985,23
41363,VA,VIRGINIA,HEPATITIS A,1,0.02,1985,23
41364,WA,WASHINGTON,HEPATITIS A,3,0.07,1985,23
41365,AL,ALABAMA,HEPATITIS A,3,0.08,1985,24
41366,AZ,ARIZONA,HEPATITIS A,17,0.51,1985,24
41367,CA,CALIFORNIA,HEPATITIS A,143,0.53,1985,24
41368,CO,COLORADO,HEPATITIS A,8,0.25,1985,24
41369,CT,CONNECTICUT,HEPATITIS A,1,0.03,1985,24
41370,FL,FLORIDA,HEPATITIS A,20,0.17,1985,24
41371,GA,GEORGIA,HEPATITIS A,8,0.13,1985,24
41372,IA,IOWA,HEPATITIS A,2,0.07,1985,24
41373,IL,ILLINOIS,HEPATITIS A,3,0.03,1985,24
41374,KS,KANSAS,HEPATITIS A,5,0.21,1985,24
41375,KY,KENTUCKY,HEPATITIS A,5,0.14,1985,24
41376,LA,LOUISIANA,HEPATITIS A,4,0.09,1985,24
41377,MA,MASSACHUSETTS,HEPATITIS A,4,0.07,1985,24
41378,MD,MARYLAND,HEPATITIS A,4,0.09,1985,24
41379,MI,MICHIGAN,HEPATITIS A,15,0.16,1985,24
41380,MN,MINNESOTA,HEPATITIS A,2,0.05,1985,24
41381,MO,MISSOURI,HEPATITIS A,1,0.02,1985,24
41382,MT,MONTANA,HEPATITIS A,1,0.12,1985,24
41383,NJ,NEW JERSEY,HEPATITIS A,18,0.24,1985,24
41384,NM,NEW MEXICO,HEPATITIS A,5,0.34,1985,24
41385,NV,NEVADA,HEPATITIS A,6,0.61,1985,24
41386,OH,OHIO,HEPATITIS A,12,0.11,1985,24
41387,OK,OKLAHOMA,HEPATITIS A,1,0.03,1985,24
41388,OR,OREGON,HEPATITIS A,24,0.89,1985,24
41389,PA,PENNSYLVANIA,HEPATITIS A,5,0.04,1985,24
41390,SC,SOUTH CAROLINA,HEPATITIS A,1,0.03,1985,24
41391,TN,TENNESSEE,HEPATITIS A,3,0.06,1985,24
41392,TX,TEXAS,HEPATITIS A,25,0.15,1985,24
41393,UT,UTAH,HEPATITIS A,1,0.06,1985,24
41394,VA,VIRGINIA,HEPATITIS A,1,0.02,1985,24
41395,WA,WASHINGTON,HEPATITIS A,16,0.36,1985,24
41396,WV,WEST VIRGINIA,HEPATITIS A,1,0.05,1985,24
41397,AZ,ARIZONA,HEPATITIS A,29,0.88,1985,25
41398,CA,CALIFORNIA,HEPATITIS A,167,0.62,1985,25
41399,CO,COLORADO,HEPATITIS A,10,0.31,1985,25
41400,CT,CONNECTICUT,HEPATITIS A,6,0.19,1985,25
41401,DC,DISTRICT OF COLUMBIA,HEPATITIS A,1,0.16,1985,25
41402,DE,DELAWARE,HEPATITIS A,3,0.48,1985,25
41403,FL,FLORIDA,HEPATITIS A,11,0.09,1985,25
41404,HI,HAWAII,HEPATITIS A,1,0.1,1985,25
41405,IA,IOWA,HEPATITIS A,1,0.04,1985,25
41406,ID,IDAHO,HEPATITIS A,1,0.1,1985,25
41407,IL,ILLINOIS,HEPATITIS A,2,0.02,1985,25
41408,IN,INDIANA,HEPATITIS A,4,0.07,1985,25
41409,KY,KENTUCKY,HEPATITIS A,2,0.05,1985,25
41410,LA,LOUISIANA,HEPATITIS A,2,0.05,1985,25
41411,MA,MASSACHUSETTS,HEPATITIS A,2,0.03,1985,25
41412,MD,MARYLAND,HEPATITIS A,1,0.02,1985,25
41413,MI,MICHIGAN,HEPATITIS A,8,0.09,1985,25
41414,MN,MINNESOTA,HEPATITIS A,3,0.07,1985,25
41415,MO,MISSOURI,HEPATITIS A,2,0.04,1985,25
41416,MT,MONTANA,HEPATITIS A,2,0.25,1985,25
41417,NC,NORTH CAROLINA,HEPATITIS A,4,0.06,1985,25
41418,NE,NEBRASKA,HEPATITIS A,1,0.06,1985,25
41419,NJ,NEW JERSEY,HEPATITIS A,4,0.05,1985,25
41420,NM,NEW MEXICO,HEPATITIS A,13,0.89,1985,25
41421,NV,NEVADA,HEPATITIS A,4,0.41,1985,25
41422,NY,NEW YORK,HEPATITIS A,10,0.06,1985,25
41423,OH,OHIO,HEPATITIS A,7,0.07,1985,25
41424,OK,OKLAHOMA,HEPATITIS A,1,0.03,1985,25
41425,OR,OREGON,HEPATITIS A,11,0.41,1985,25
41426,PA,PENNSYLVANIA,HEPATITIS A,11,0.09,1985,25
41427,RI,RHODE ISLAND,HEPATITIS A,1,0.1,1985,25
41428,SC,SOUTH CAROLINA,HEPATITIS A,3,0.09,1985,25
41429,TN,TENNESSEE,HEPATITIS A,2,0.04,1985,25
41430,TX,TEXAS,HEPATITIS A,53,0.32,1985,25
41431,UT,UTAH,HEPATITIS A,9,0.54,1985,25
41432,VA,VIRGINIA,HEPATITIS A,4,0.07,1985,25
41433,WA,WASHINGTON,HEPATITIS A,2,0.04,1985,25
41434,AR,ARKANSAS,HEPATITIS A,3,0.13,1985,26
41435,AZ,ARIZONA,HEPATITIS A,33,1.0,1985,26
41436,CA,CALIFORNIA,HEPATITIS A,130,0.48,1985,26
41437,CO,COLORADO,HEPATITIS A,4,0.12,1985,26
41438,CT,CONNECTICUT,HEPATITIS A,4,0.12,1985,26
41439,DE,DELAWARE,HEPATITIS A,1,0.16,1985,26
41440,FL,FLORIDA,HEPATITIS A,19,0.16,1985,26
41441,GA,GEORGIA,HEPATITIS A,3,0.05,1985,26
41442,ID,IDAHO,HEPATITIS A,5,0.5,1985,26
41443,IL,ILLINOIS,HEPATITIS A,3,0.03,1985,26
41444,IN,INDIANA,HEPATITIS A,3,0.06,1985,26
41445,LA,LOUISIANA,HEPATITIS A,1,0.02,1985,26
41446,MA,MASSACHUSETTS,HEPATITIS A,1,0.02,1985,26
41447,MD,MARYLAND,HEPATITIS A,2,0.04,1985,26
41448,MI,MICHIGAN,HEPATITIS A,9,0.1,1985,26
41449,MN,MINNESOTA,HEPATITIS A,1,0.02,1985,26
41450,MO,MISSOURI,HEPATITIS A,4,0.08,1985,26
41451,NC,NORTH CAROLINA,HEPATITIS A,1,0.02,1985,26
41452,NE,NEBRASKA,HEPATITIS A,1,0.06,1985,26
41453,NJ,NEW JERSEY,HEPATITIS A,14,0.18,1985,26
41454,NM,NEW MEXICO,HEPATITIS A,9,0.62,1985,26
41455,NV,NEVADA,HEPATITIS A,9,0.92,1985,26
41456,OH,OHIO,HEPATITIS A,10,0.09,1985,26
41457,OK,OKLAHOMA,HEPATITIS A,2,0.06,1985,26
41458,OR,OREGON,HEPATITIS A,34,1.27,1985,26
41459,PA,PENNSYLVANIA,HEPATITIS A,13,0.11,1985,26
41460,SC,SOUTH CAROLINA,HEPATITIS A,2,0.06,1985,26
41461,SD,SOUTH DAKOTA,HEPATITIS A,2,0.29,1985,26
41462,TX,TEXAS,HEPATITIS A,59,0.36,1985,26
41463,UT,UTAH,HEPATITIS A,6,0.36,1985,26
41464,VA,VIRGINIA,HEPATITIS A,7,0.12,1985,26
41465,VT,VERMONT,HEPATITIS A,1,0.19,1985,26
41466,WA,WASHINGTON,HEPATITIS A,5,0.11,1985,26
41467,AR,ARKANSAS,HEPATITIS A,2,0.09,1985,27
41468,AZ,ARIZONA,HEPATITIS A,29,0.88,1985,27
41469,CA,CALIFORNIA,HEPATITIS A,126,0.46,1985,27
41470,CO,COLORADO,HEPATITIS A,5,0.15,1985,27
41471,CT,CONNECTICUT,HEPATITIS A,1,0.03,1985,27
41472,FL,FLORIDA,HEPATITIS A,24,0.21,1985,27
41473,GA,GEORGIA,HEPATITIS A,10,0.16,1985,27
41474,ID,IDAHO,HEPATITIS A,3,0.3,1985,27
41475,IN,INDIANA,HEPATITIS A,1,0.02,1985,27
41476,LA,LOUISIANA,HEPATITIS A,3,0.07,1985,27
41477,MA,MASSACHUSETTS,HEPATITIS A,3,0.05,1985,27
41478,MI,MICHIGAN,HEPATITIS A,10,0.11,1985,27
41479,MN,MINNESOTA,HEPATITIS A,2,0.05,1985,27
41480,NC,NORTH CAROLINA,HEPATITIS A,1,0.02,1985,27
41481,NE,NEBRASKA,HEPATITIS A,2,0.13,1985,27
41482,NJ,NEW JERSEY,HEPATITIS A,14,0.18,1985,27
41483,NM,NEW MEXICO,HEPATITIS A,5,0.34,1985,27
41484,NV,NEVADA,HEPATITIS A,5,0.51,1985,27
41485,OH,OHIO,HEPATITIS A,14,0.13,1985,27
41486,OR,OREGON,HEPATITIS A,9,0.34,1985,27
41487,PA,PENNSYLVANIA,HEPATITIS A,10,0.08,1985,27
41488,SC,SOUTH CAROLINA,HEPATITIS A,2,0.06,1985,27
41489,SD,SOUTH DAKOTA,HEPATITIS A,3,0.43,1985,27
41490,TX,TEXAS,HEPATITIS A,29,0.18,1985,27
41491,UT,UTAH,HEPATITIS A,3,0.18,1985,27
41492,VT,VERMONT,HEPATITIS A,3,0.56,1985,27
41493,WA,WASHINGTON,HEPATITIS A,14,0.31,1985,27
41494,AL,ALABAMA,HEPATITIS A,1,0.03,1985,28
41495,AR,ARKANSAS,HEPATITIS A,1,0.04,1985,28
41496,AZ,ARIZONA,HEPATITIS A,17,0.51,1985,28
41497,CA,CALIFORNIA,HEPATITIS A,149,0.55,1985,28
41498,CO,COLORADO,HEPATITIS A,5,0.15,1985,28
41499,CT,CONNECTICUT,HEPATITIS A,1,0.03,1985,28
41500,DE,DELAWARE,HEPATITIS A,1,0.16,1985,28
41501,FL,FLORIDA,HEPATITIS A,16,0.14,1985,28
41502,GA,GEORGIA,HEPATITIS A,1,0.02,1985,28
41503,HI,HAWAII,HEPATITIS A,1,0.1,1985,28
41504,IA,IOWA,HEPATITIS A,2,0.07,1985,28
41505,ID,IDAHO,HEPATITIS A,5,0.5,1985,28
41506,IL,ILLINOIS,HEPATITIS A,1,0.01,1985,28
41507,IN,INDIANA,HEPATITIS A,2,0.04,1985,28
41508,KS,KANSAS,HEPATITIS A,1,0.04,1985,28
41509,KY,KENTUCKY,HEPATITIS A,4,0.11,1985,28
41510,LA,LOUISIANA,HEPATITIS A,2,0.05,1985,28
41511,MA,MASSACHUSETTS,HEPATITIS A,3,0.05,1985,28
41512,ME,MAINE,HEPATITIS A,1,0.09,1985,28
41513,MI,MICHIGAN,HEPATITIS A,6,0.07,1985,28
41514,MN,MINNESOTA,HEPATITIS A,1,0.02,1985,28
41515,NC,NORTH CAROLINA,HEPATITIS A,1,0.02,1985,28
41516,NE,NEBRASKA,HEPATITIS A,3,0.19,1985,28
41517,NJ,NEW JERSEY,HEPATITIS A,8,0.1,1985,28
41518,NM,NEW MEXICO,HEPATITIS A,13,0.89,1985,28
41519,NV,NEVADA,HEPATITIS A,2,0.2,1985,28
41520,NY,NEW YORK,HEPATITIS A,13,0.07,1985,28
41521,OH,OHIO,HEPATITIS A,7,0.07,1985,28
41522,OK,OKLAHOMA,HEPATITIS A,1,0.03,1985,28
41523,OR,OREGON,HEPATITIS A,35,1.3,1985,28
41524,PA,PENNSYLVANIA,HEPATITIS A,20,0.17,1985,28
41525,SD,SOUTH DAKOTA,HEPATITIS A,4,0.57,1985,28
41526,TN,TENNESSEE,HEPATITIS A,2,0.04,1985,28
41527,TX,TEXAS,HEPATITIS A,56,0.34,1985,28
41528,UT,UTAH,HEPATITIS A,9,0.54,1985,28
41529,VT,VERMONT,HEPATITIS A,3,0.56,1985,28
41530,WA,WASHINGTON,HEPATITIS A,11,0.25,1985,28
41531,WV,WEST VIRGINIA,HEPATITIS A,1,0.05,1985,28
41532,AR,ARKANSAS,HEPATITIS A,1,0.04,1985,29
41533,AZ,ARIZONA,HEPATITIS A,29,0.88,1985,29
41534,CA,CALIFORNIA,HEPATITIS A,134,0.49,1985,29
41535,CO,COLORADO,HEPATITIS A,12,0.37,1985,29
41536,DE,DELAWARE,HEPATITIS A,1,0.16,1985,29
41537,FL,FLORIDA,HEPATITIS A,18,0.15,1985,29
41538,GA,GEORGIA,HEPATITIS A,8,0.13,1985,29
41539,HI,HAWAII,HEPATITIS A,2,0.19,1985,29
41540,IL,ILLINOIS,HEPATITIS A,4,0.04,1985,29
41541,IN,INDIANA,HEPATITIS A,3,0.06,1985,29
41542,KY,KENTUCKY,HEPATITIS A,2,0.05,1985,29
41543,LA,LOUISIANA,HEPATITIS A,1,0.02,1985,29
41544,MA,MASSACHUSETTS,HEPATITIS A,1,0.02,1985,29
41545,MD,MARYLAND,HEPATITIS A,2,0.04,1985,29
41546,ME,MAINE,HEPATITIS A,1,0.09,1985,29
41547,MI,MICHIGAN,HEPATITIS A,8,0.09,1985,29
41548,MO,MISSOURI,HEPATITIS A,1,0.02,1985,29
41549,NC,NORTH CAROLINA,HEPATITIS A,1,0.02,1985,29
41550,NJ,NEW JERSEY,HEPATITIS A,15,0.2,1985,29
41551,NM,NEW MEXICO,HEPATITIS A,12,0.82,1985,29
41552,NV,NEVADA,HEPATITIS A,8,0.82,1985,29
41553,NY,NEW YORK,HEPATITIS A,20,0.11,1985,29
41554,OH,OHIO,HEPATITIS A,9,0.08,1985,29
41555,OK,OKLAHOMA,HEPATITIS A,9,0.28,1985,29
41556,OR,OREGON,HEPATITIS A,24,0.89,1985,29
41557,SD,SOUTH DAKOTA,HEPATITIS A,2,0.29,1985,29
41558,TN,TENNESSEE,HEPATITIS A,1,0.02,1985,29
41559,TX,TEXAS,HEPATITIS A,26,0.16,1985,29
41560,UT,UTAH,HEPATITIS A,7,0.42,1985,29
41561,VA,VIRGINIA,HEPATITIS A,5,0.09,1985,29
41562,VT,VERMONT,HEPATITIS A,1,0.19,1985,29
41563,WA,WASHINGTON,HEPATITIS A,12,0.27,1985,29
41564,AK,ALASKA,HEPATITIS A,1,0.18,1985,30
41565,AR,ARKANSAS,HEPATITIS A,3,0.13,1985,30
41566,AZ,ARIZONA,HEPATITIS A,23,0.7,1985,30
41567,CA,CALIFORNIA,HEPATITIS A,139,0.51,1985,30
41568,CO,COLORADO,HEPATITIS A,11,0.34,1985,30
41569,CT,CONNECTICUT,HEPATITIS A,2,0.06,1985,30
41570,DE,DELAWARE,HEPATITIS A,3,0.48,1985,30
41571,FL,FLORIDA,HEPATITIS A,35,0.3,1985,30
41572,GA,GEORGIA,HEPATITIS A,1,0.02,1985,30
41573,HI,HAWAII,HEPATITIS A,1,0.1,1985,30
41574,ID,IDAHO,HEPATITIS A,3,0.3,1985,30
41575,IL,ILLINOIS,HEPATITIS A,1,0.01,1985,30
41576,IN,INDIANA,HEPATITIS A,1,0.02,1985,30
41577,KY,KENTUCKY,HEPATITIS A,6,0.16,1985,30
41578,LA,LOUISIANA,HEPATITIS A,1,0.02,1985,30
41579,MA,MASSACHUSETTS,HEPATITIS A,4,0.07,1985,30
41580,ME,MAINE,HEPATITIS A,1,0.09,1985,30
41581,MI,MICHIGAN,HEPATITIS A,6,0.07,1985,30
41582,MN,MINNESOTA,HEPATITIS A,1,0.02,1985,30
41583,MO,MISSOURI,HEPATITIS A,5,0.1,1985,30
41584,NC,NORTH CAROLINA,HEPATITIS A,2,0.03,1985,30
41585,NE,NEBRASKA,HEPATITIS A,3,0.19,1985,30
41586,NJ,NEW JERSEY,HEPATITIS A,9,0.12,1985,30
41587,NM,NEW MEXICO,HEPATITIS A,21,1.44,1985,30
41588,NV,NEVADA,HEPATITIS A,4,0.41,1985,30
41589,NY,NEW YORK,HEPATITIS A,9,0.05,1985,30
41590,OH,OHIO,HEPATITIS A,5,0.05,1985,30
41591,OK,OKLAHOMA,HEPATITIS A,8,0.25,1985,30
41592,OR,OREGON,HEPATITIS A,35,1.3,1985,30
41593,PA,PENNSYLVANIA,HEPATITIS A,18,0.15,1985,30
41594,SC,SOUTH CAROLINA,HEPATITIS A,1,0.03,1985,30
41595,SD,SOUTH DAKOTA,HEPATITIS A,4,0.57,1985,30
41596,TX,TEXAS,HEPATITIS A,17,0.1,1985,30
41597,UT,UTAH,HEPATITIS A,3,0.18,1985,30
41598,VA,VIRGINIA,HEPATITIS A,2,0.03,1985,30
41599,WA,WASHINGTON,HEPATITIS A,15,0.34,1985,30
41600,WV,WEST VIRGINIA,HEPATITIS A,4,0.21,1985,30
41601,WY,WYOMING,HEPATITIS A,1,0.2,1985,30
41602,AK,ALASKA,HEPATITIS A,2,0.37,1985,31
41603,AR,ARKANSAS,HEPATITIS A,2,0.09,1985,31
41604,AZ,ARIZONA,HEPATITIS A,31,0.94,1985,31
41605,CA,CALIFORNIA,HEPATITIS A,153,0.56,1985,31
41606,CO,COLORADO,HEPATITIS A,3,0.09,1985,31
41607,CT,CONNECTICUT,HEPATITIS A,2,0.06,1985,31
41608,FL,FLORIDA,HEPATITIS A,21,0.18,1985,31
41609,GA,GEORGIA,HEPATITIS A,5,0.08,1985,31
41610,HI,HAWAII,HEPATITIS A,2,0.19,1985,31
41611,IA,IOWA,HEPATITIS A,4,0.14,1985,31
41612,ID,IDAHO,HEPATITIS A,5,0.5,1985,31
41613,IN,INDIANA,HEPATITIS A,1,0.02,1985,31
41614,KS,KANSAS,HEPATITIS A,3,0.12,1985,31
